,state,subscriptionlevel,count_200kbps,count_1mbps
0,AL,0%,4,4
1,AL,0-20%,5,172
2,AL,20-40%,117,287
3,AL,40-60%,386,322
4,AL,60-80%,376,277
5,AL,80-100%,291,117
6,DE,0%,1,1
7,DE,20-40%,2,3
8,DE,40-60%,14,30
9,DE,60-80%,54,62
10,DE,80-100%,144,119
11,DC,0-20%,1,1
12,DC,20-40%,1,2
13,DC,40-60%,19,48
14,DC,60-80%,53,56
15,DC,80-100%,105,72
16,FL,0%,38,38
17,FL,0-20%,4,89
18,FL,20-40%,34,214
19,FL,40-60%,269,519
20,FL,60-80%,817,1251
21,FL,80-100%,3037,2088
22,GA,0%,10,10
23,GA,0-20%,12,201
24,GA,20-40%,94,316
25,GA,40-60%,351,431
26,GA,60-80%,576,521
27,GA,80-100%,921,485
28,HI,0%,14,14
29,HI,0-20%,1,1
30,HI,20-40%,8,8
31,HI,40-60%,17,18
32,HI,60-80%,64,66
33,HI,80-100%,222,219
34,ID,0-20%,2,61
35,ID,20-40%,7,84
36,ID,40-60%,16,105
37,ID,60-80%,145,42
38,ID,80-100%,128,5
39,ID,0%,,1
40,IL,0%,7,7
41,IL,0-20%,6,70
42,IL,20-40%,61,377
43,IL,40-60%,491,883
44,IL,60-80%,1165,1169
45,IL,80-100%,1391,615
46,IN,0%,5,5
47,IN,0-20%,4,111
48,IN,20-40%,35,270
49,IN,40-60%,306,486
50,IN,60-80%,658,451
51,IN,80-100%,500,185
52,IA,0%,3,3
53,IA,0-20%,2,104
54,IA,20-40%,10,223
55,IA,40-60%,120,335
56,IA,60-80%,508,136
57,IA,80-100%,182,24
58,AK,0%,2,22
59,AK,0-20%,2,22
60,AK,20-40%,11,13
61,AK,40-60%,15,33
62,AK,60-80%,50,56
63,AK,80-100%,87,21
64,KS,0%,11,11
65,KS,20-40%,13,143
66,KS,40-60%,135,228
67,KS,60-80%,310,177
68,KS,80-100%,301,136
69,KS,0-20%,,75
70,KY,0%,9,9
71,KY,0-20%,12,193
72,KY,20-40%,44,244
73,KY,40-60%,226,278
74,KY,60-80%,409,222
75,KY,80-100%,415,169
76,LA,0%,12,12
77,LA,0-20%,5,110
78,LA,20-40%,105,226
79,LA,40-60%,297,363
80,LA,60-80%,397,310
81,LA,80-100%,320,115
82,ME,20-40%,5,41
83,ME,40-60%,10,80
84,ME,60-80%,103,135
85,ME,80-100%,233,59
86,ME,0-20%,,36
87,MD,0%,8,8
88,MD,20-40%,29,92
89,MD,40-60%,122,201
90,MD,60-80%,337,365
91,MD,80-100%,898,726
92,MD,0-20%,,2
93,MA,0%,12,13
94,MA,0-20%,1,9
95,MA,20-40%,7,17
96,MA,40-60%,46,133
97,MA,60-80%,317,508
98,MA,80-100%,1088,791
99,MI,0%,28,29
100,MI,0-20%,15,120
101,MI,20-40%,167,447
102,MI,40-60%,464,545
103,MI,60-80%,855,1063
104,MI,80-100%,1238,563
105,MN,0%,4,4
106,MN,0-20%,3,86
107,MN,20-40%,12,207
108,MN,40-60%,106,378
109,MN,60-80%,565,550
110,MN,80-100%,645,110
111,MS,0%,4,4
112,MS,0-20%,5,138
113,MS,20-40%,135,234
114,MS,40-60%,261,158
115,MS,60-80%,165,109
116,MS,80-100%,91,18
117,MO,0%,5,5
118,MO,0-20%,4,210
119,MO,20-40%,57,237
120,MO,40-60%,319,343
121,MO,60-80%,476,384
122,MO,80-100%,532,214
123,MT,0%,2,2
124,MT,0-20%,1,75
125,MT,20-40%,2,51
126,MT,40-60%,33,36
127,MT,60-80%,115,84
128,MT,80-100%,118,23
129,NE,0%,4,4
130,NE,20-40%,5,86
131,NE,40-60%,74,120
132,NE,60-80%,243,147
133,NE,80-100%,206,86
134,NE,0-20%,,89
135,NV,0%,5,5
136,NV,0-20%,5,27
137,NV,20-40%,12,56
138,NV,40-60%,70,135
139,NV,60-80%,163,272
140,NV,80-100%,428,188
141,NH,0%,2,2
142,NH,40-60%,3,29
143,NH,60-80%,37,103
144,NH,80-100%,252,145
