,statecode,tech,bc_hundred,bc_oneG,bc_twentyfive,blockcode,hundred_fifty,oneG,providername,twentyfive_three,type
0,42,Cable,0,0,41602,276763,0.0,0,27,41810.0,business
1,42,Fiber,55143,0,56723,167488,60638.0,0,59,62954.0,business
2,42,Fixed Wireless,17,0,11227,51934,17.0,0,23,11449.0,business
3,42,Other,79,0,955,5916,84.0,0,26,1037.0,business
4,42,Satellite,0,0,0,421086,0.0,0,4,0.0,business
5,42,aDSL,0,0,3580,245679,0.0,0,45,3582.0,business
6,42,Cable,0,0,268601,273019,0.0,0,24,359527.0,consumer
7,42,Fiber,133083,0,134740,135938,136922.0,0,28,139405.0,consumer
8,42,Fixed Wireless,1,0,4884,59011,1.0,0,22,5094.0,consumer
9,42,Other,0,0,87,106,0.0,0,4,87.0,consumer
10,42,Satellite,0,0,0,421545,0.0,0,3,0.0,consumer
11,42,aDSL,0,0,14755,258065,0.0,0,33,14770.0,consumer
12,42,2G,0,0,0,412504,0.0,0,7,0.0,mobile
13,42,3G,0,0,0,414380,0.0,0,5,0.0,mobile
14,42,4G_LTE,0,0,414284,414285,0.0,0,6,1475348.0,mobile
15,42,4G_NON_LTE,0,0,411815,411816,0.0,0,4,664969.0,mobile
0,19,Cable,0,0,3189,64064,0.0,0,57,4458.0,business
1,19,Fiber,17573,0,26798,54352,18366.0,0,156,28901.0,business
2,19,Fixed Wireless,68216,0,104287,128328,68216.0,0,74,117346.0,business
3,19,Other,76,0,841,1891,76.0,0,16,863.0,business
4,19,Satellite,0,0,0,215811,0.0,0,4,0.0,business
5,19,aDSL,0,0,7502,95306,0.0,0,125,11333.0,business
6,19,Cable,0,0,60919,65242,0.0,0,52,65635.0,consumer
7,19,Fiber,10609,0,37461,45559,10715.0,0,142,39024.0,consumer
8,19,Fixed Wireless,14412,0,94705,141007,14412.0,0,79,104913.0,consumer
9,19,Other,0,0,66,70,0.0,0,4,66.0,consumer
10,19,Satellite,0,0,0,216007,0.0,0,3,0.0,consumer
11,19,aDSL,0,0,20881,113627,0.0,0,122,20954.0,consumer
12,19,2G,0,0,0,215938,0.0,0,13,0.0,mobile
13,19,3G,0,0,0,215939,0.0,0,9,0.0,mobile
14,19,4G_LTE,0,0,215905,215906,0.0,0,10,694934.0,mobile
15,19,4G_NON_LTE,0,0,191569,191570,0.0,0,4,261969.0,mobile
0,40,Cable,0,0,12758,52668,0.0,0,13,12760.0,business
1,40,Fiber,8356,0,12408,15518,8704.0,0,48,13158.0,business
2,40,Fixed Wireless,47754,0,64893,155062,47754.0,0,36,69637.0,business
3,40,Other,3,0,264,979,3.0,0,13,270.0,business
4,40,Satellite,0,0,0,268180,0.0,0,4,0.0,business
5,40,aDSL,0,0,3373,56998,0.0,0,49,3488.0,business
6,40,Cable,0,0,64279,71152,0.0,0,11,64806.0,consumer
7,40,Fiber,3521,0,8999,11795,3559.0,0,35,9411.0,consumer
8,40,Fixed Wireless,818,0,43495,163869,818.0,0,41,43983.0,consumer
9,40,Other,0,0,0,4,0.0,0,3,0.0,consumer
10,40,Satellite,0,0,0,269118,0.0,0,3,0.0,consumer
11,40,aDSL,0,0,15534,134743,0.0,0,45,15708.0,consumer
12,40,2G,0,0,0,267436,0.0,0,15,0.0,mobile
13,40,3G,0,0,0,268228,0.0,0,15,0.0,mobile
14,40,4G_LTE,0,0,267804,267805,0.0,0,13,1177269.0,mobile
15,40,4G_NON_LTE,0,0,259834,259835,0.0,0,3,327356.0,mobile
0,48,Cable,4,0,4396,422279,4.0,0,37,4396.0,business
1,48,Fiber,48233,0,57048,101159,50670.0,0,121,61724.0,business
2,48,Fixed Wireless,346568,0,363730,589587,467948.0,0,120,507192.0,business
3,48,Other,172,0,5280,18063,182.0,0,47,5576.0,business
4,48,Satellite,0,0,0,910667,0.0,0,5,0.0,business
5,48,aDSL,18,0,5228,172287,18.0,0,86,5280.0,business
6,48,Cable,1,0,398193,420125,1.0,0,32,421226.0,consumer
7,48,Fiber,23773,0,60054,81847,27150.0,0,74,64438.0,consumer
